,STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO_x,SMALL_x,MEDIUM_x,Total_x,Last_Updated,MICRO_y,SMALL_y,MEDIUM_y,Total_y
0,ANDHRA PRADESH,502,ANANTHAPUR,11370,483,33,11886,2022-01-11,7797,238,10,8045
1,ANDHRA PRADESH,503,CHITOOR,13037,592,51,13680,2022-01-11,9623,351,19,9993
2,ANDHRA PRADESH,505,EAST GODAVARI,16711,1044,123,17878,2022-01-11,12347,615,49,13011
3,ANDHRA PRADESH,506,GUNTUR,15955,1678,169,17802,2022-01-11,11386,630,53,12069
4,ANDHRA PRADESH,510,KRISHNA,20460,1673,165,22298,2022-01-11,15189,1007,79,16275
5,ANDHRA PRADESH,511,KURNOOL,11229,558,37,11824,2022-01-11,8972,348,16,9336
6,ANDHRA PRADESH,517,PRAKASAM,9079,524,44,9647,2022-01-11,6527,231,7,6765
7,ANDHRA PRADESH,515,SPSR NELLORE,9783,679,52,10514,2022-01-11,7515,351,19,7885
8,ANDHRA PRADESH,519,SRIKAKULAM,4261,231,15,4507,2022-01-11,2989,98,6,3093
9,ANDHRA PRADESH,520,VISAKHAPATNAM,16534,1416,167,18117,2022-01-11,13102,941,78,14121
10,ANDHRA PRADESH,521,VIZIANAGARAM,3909,225,14,4148,2022-01-11,3093,130,3,3226
11,ANDHRA PRADESH,523,WEST GODAVARI,13617,1046,131,14794,2022-01-11,10450,586,68,11104
12,ANDHRA PRADESH,504,Y.S.R,7869,450,29,8348,2022-01-11,6330,273,15,6618
13,ARUNACHAL PRADESH,628,ANJAW,23,0,0,23,2022-01-11,17,0,0,17
14,ARUNACHAL PRADESH,229,CHANGLANG,192,4,0,196,2022-01-11,70,0,0,70
15,ARUNACHAL PRADESH,230,DIBANG VALLEY,7,0,0,7,2022-01-11,5,0,0,5
16,ARUNACHAL PRADESH,231,EAST KAMENG,21,0,0,21,2022-01-11,18,0,0,18
17,ARUNACHAL PRADESH,232,EAST SIANG,120,3,0,123,2022-01-11,65,0,0,65
18,ARUNACHAL PRADESH,718,KAMLE,7,0,0,7,2022-01-11,3,0,0,3
19,ARUNACHAL PRADESH,677,KRA DAADI,8,1,0,9,2022-01-11,7,0,0,7
20,ARUNACHAL PRADESH,233,KURUNG KUMEY,21,1,0,22,2022-01-11,11,1,0,12
21,ARUNACHAL PRADESH,724,LEPARADA,7,0,0,7,2022-01-11,4,0,0,4
22,ARUNACHAL PRADESH,234,LOHIT,152,1,1,154,2022-01-11,81,0,0,81
23,ARUNACHAL PRADESH,666,LONGDING,16,0,0,16,2022-01-11,7,0,0,7
24,ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,49,2,0,51,2022-01-11,31,0,0,31
25,ARUNACHAL PRADESH,719,LOWER SIANG,21,0,0,21,2022-01-11,13,0,0,13
26,ARUNACHAL PRADESH,236,LOWER SUBANSIRI,355,2,0,357,2022-01-11,141,2,0,143
27,ARUNACHAL PRADESH,678,NAMSAI,36,0,0,36,2022-01-11,17,0,0,17
28,ARUNACHAL PRADESH,723,PAKKE KESSANG,6,0,0,6,2022-01-11,4,0,0,4
29,ARUNACHAL PRADESH,237,PAPUM PARE,741,62,10,813,2022-01-11,483,36,6,525
30,ARUNACHAL PRADESH,725,SHI YOMI,4,0,0,4,2022-01-11,4,0,0,4
31,ARUNACHAL PRADESH,679,SIANG,10,0,0,10,2022-01-11,7,0,0,7
32,ARUNACHAL PRADESH,238,TAWANG,67,4,0,71,2022-01-11,23,2,0,25
33,ARUNACHAL PRADESH,239,TIRAP,46,2,0,48,2022-01-11,30,1,0,31
34,ARUNACHAL PRADESH,240,UPPER SIANG,26,1,0,27,2022-01-11,12,1,0,13
35,ARUNACHAL PRADESH,241,UPPER SUBANSIRI,50,2,0,52,2022-01-11,32,2,0,34
36,ARUNACHAL PRADESH,242,WEST KAMENG,119,10,0,129,2022-01-11,79,5,0,84
37,ARUNACHAL PRADESH,243,WEST SIANG,68,4,0,72,2022-01-11,37,3,0,40
38,ASSAM,616,BAKSA,1240,10,4,1254,2022-01-11,714,6,1,721
39,ASSAM,280,BARPETA,2929,62,4,2995,2022-01-11,1606,47,4,1657
40,ASSAM,705,Biswanath,881,28,0,909,2022-01-11,519,16,0,535
41,ASSAM,281,BONGAIGAON,1232,43,5,1280,2022-01-11,784,32,3,819
42,ASSAM,282,CACHAR,3541,156,9,3706,2022-01-11,2331,105,5,2441
43,ASSAM,708,CHARAIDEO,464,13,0,477,2022-01-11,199,9,0,208
44,ASSAM,612,CHIRANG,768,28,4,800,2022-01-11,496,13,3,512
45,ASSAM,283,DARRANG,4835,54,4,4893,2022-01-11,4249,42,0,4291
46,ASSAM,284,DHEMAJI,2104,29,0,2133,2022-01-11,1343,20,0,1363
47,ASSAM,285,DHUBRI,1989,35,2,2026,2022-01-11,1007,27,1,1035
